Paragraphs,Score
"Regarding the China-US trade frictions, the Spokesperson of the Commerce Ministry has elaborated on it this morning and made clear China's position.",1.0
China always upholds the principle of non-interference in other counties' internal affairs and opposes foreign interference in Venezuela's affairs.,1.0
"A: China follows closely the situation of COVID-19 in the Czech Republic and relates to the difficulties faced by the Czech government and people. At the critical moment when China was challenged by the epidemic, President Milos Zeman called on the Czech people to donate money and supplies, and the Czech government specially sent emergency medical supplies to China by military plane. ",2.0
"It means a lot to global economic development, the interests of all countries and the progress of human civilization.",2.0
Our position remains unchanged.,1.0
"As a responsible major country, China will continue making efforts to support the WHO's leading role in global anti-epidemic cooperation. We call on the international community to further consolidate consensus in endorsing multilateralism, increase political and financial support for the WHO, and jointly safeguard global public health security.",2.0
This is a problem the US needs to pay attention to and address.,0.0
The Chinese leaders ordered all-out efforts as soon as the accident happened.,1.0
"The Security Council is now deliberating on the draft resolution circulated by the US on extending mandate of the JIM. We hope that all relevant parties could bear in mind the unity of the Security Council, show patience in consultation, and endeavor to reach consensus so as to create favorable conditions for the proper settlement of the issue of chemical weapons in Syria and build a sound environment for the next-stage political settlement of the Syrian issue.",1.0
"The vocational training and education centers you mentioned were places where people who had conducted misdemeanors under the influence of religious extremism took courses in the national common spoken and written language, legal knowledge, vocational skills and de-radicalization. The aim is to eliminate the root cause of terrorism and extremism. Through such education and training, the trainees’ overall capability as well as their awareness of nation, citizen and rule of law were all significantly enhanced. They also came to see the harmful nature of terrorism and extremism, shirked off the sway terrorism and extremism had held over their mind, and got to lead normal lives. As we have repeatedly stated, the trainees in these centers have all graduated and are leading normal lives. As normal members of our society, there’s no special measure applying to them. ",1.0
What Nauru claimed is completely inconsistent with the facts.,0.0
